"j","k","method","ISE_MC"
6,14,"GM",0.00726698039069475
6,14,"NW",0.00373817249007589
6,14,"LL",0.00205678904844827
1,7,"GM",0.000957979251876427
1,7,"NW",0.00096556080293445
1,7,"LL",0.000829391366980069
1,10,"GM",0.00267083104434048
1,10,"NW",0.00274027702553061
1,10,"LL",0.00254934936851675
1,14,"GM",0.00134834584126628
1,14,"NW",0.00135943951830373
1,14,"LL",0.000916955282013386
2,7,"GM",0.00517654952410207
2,7,"NW",0.00538392372133479
2,7,"LL",0.00989172119221129
2,10,"GM",0.00435683466665835
2,10,"NW",0.00333056111318821
2,10,"LL",0.00117625358781012
2,14,"GM",0.00171169681510013
2,14,"NW",0.00180507857235601
2,14,"LL",0.000546347658464993
3,7,"GM",0.0112009942187971
3,7,"NW",0.0128404781004943
3,7,"LL",0.0173999448253083
3,10,"GM",0.00346794697875322
3,10,"NW",0.00393113251651584
3,10,"LL",0.00238002045453456
3,14,"GM",0.00305948102096412
3,14,"NW",0.00328499714877985
3,14,"LL",0.00333747216616971
4,7,"GM",0.00517943272190386
4,7,"NW",0.00465498063034875
4,7,"LL",0.00169188161129519
4,10,"GM",0.00257344753161577
4,10,"NW",0.00272320194978526
4,10,"LL",0.00201962074696596
4,14,"GM",0.00449337009042945
4,14,"NW",0.00393699433285724
4,14,"LL",0.00144017544678479
5,7,"GM",0.0192763207268453
5,7,"NW",0.010087391780158
5,7,"LL",0.00268352296884178
5,10,"GM",0.0137062083257286
5,10,"NW",0.0147105568338087
5,10,"LL",0.0114561428283444
5,14,"GM",0.00798712456851749
5,14,"NW",0.00616972720906804
5,14,"LL",0.00180960747451818
6,7,"GM",0.00774583950138206
6,7,"NW",0.00738108031545795
6,7,"LL",0.00400239812296545
6,10,"GM",0.00903759784606927
6,10,"NW",0.00791302498282796
6,10,"LL",0.0034812761897136
6,14,"GM",0.00320817425192592
6,14,"NW",0.00288500137698057
6,14,"LL",0.00156036518521541
1,7,"GM",0.00358069050707482
1,7,"NW",0.00382189133730506
1,7,"LL",0.00366879877112164
1,10,"GM",0.00082214520316822
1,10,"NW",0.000814573920120385
1,10,"LL",0.000180082332942784
1,14,"GM",0.00101583710597679
1,14,"NW",0.000777599149552578
1,14,"LL",0.000215207817272639
2,7,"GM",0.0018845960546495
2,7,"NW",0.00236302700159329
2,7,"LL",0.00238185372714555
2,10,"GM",0.00258128550189638
2,10,"NW",0.00281654042186815
2,10,"LL",0.000806134212988225
2,14,"GM",0.003125310825278
2,14,"NW",0.00250083326205045
2,14,"LL",0.00109267887390505
3,7,"GM",0.00273628755547284
3,7,"NW",0.00210716095802452
3,7,"LL",0.00254909168086623
3,10,"GM",0.00822000832546194
3,10,"NW",0.00546524546268674
3,10,"LL",0.0037333889078924
3,14,"GM",0.00299649745473819
3,14,"NW",0.00277414195860227
3,14,"LL",0.00169663145505931
4,7,"GM",0.00647315817868928
4,7,"NW",0.00610005034002915
4,7,"LL",0.00821926282080546
4,10,"GM",0.00402716847478247
4,10,"NW",0.00636110877225522
4,10,"LL",0.00188056076121684
4,14,"GM",0.00216017805551009
4,14,"NW",0.00176634410784864
4,14,"LL",0.000444884591190285
5,7,"GM",0.00769171575352475
5,7,"NW",0.00973286391325989
5,7,"LL",0.00237164049703204
5,10,"GM",0.00795925619418981
5,10,"NW",0.00741517577206057
5,10,"LL",0.00325502851217408
5,14,"GM",0.0115855313476384
5,14,"NW",0.0072780879746285
5,14,"LL",0.00187923341672914
6,7,"GM",0.00869396787718919
6,7,"NW",0.00781220898988551
6,7,"LL",0.00181934150904303
6,10,"GM",0.00821330281489757
6,10,"NW",0.00659653134633619
6,10,"LL",0.00241618212368306
6,14,"GM",0.00385104874891763
6,14,"NW",0.00270240468618363
6,14,"LL",0.0023874397171112
1,7,"GM",0.00266334944350582
1,7,"NW",0.00244219836176356
1,7,"LL",0.00101733403981441
1,10,"GM",0.001948413731063
1,10,"NW",0.00166611845757829
1,10,"LL",0.000768394567796753
1,14,"GM",0.000673530381797595
1,14,"NW",0.000736817921617995
1,14,"LL",0.000513102970403988
2,7,"GM",0.00746508624417311
2,7,"NW",0.00645131567143335
2,7,"LL",0.00209374657148199
2,10,"GM",0.00307887983100318
2,10,"NW",0.00385475893785957
2,10,"LL",0.00264622349582753
2,14,"GM",0.00254150104026096
2,14,"NW",0.00172795454555513
2,14,"LL",0.00016938794782515
3,7,"GM",0.00959169710171516
3,7,"NW",0.00780426416490727
3,7,"LL",0.00370822901458688
3,10,"GM",0.00387374298489083
3,10,"NW",0.00434963033003436
3,10,"LL",0.00484117887733045
3,14,"GM",0.00254465909881556
3,14,"NW",0.00389258034141927
3,14,"LL",0.00177574355684063
4,7,"GM",0.00300211918349756
4,7,"NW",0.0025645136568231
4,7,"LL",0.000648212033696872
4,10,"GM",0.00284492052361129
4,10,"NW",0.0027779806269105
4,10,"LL",0.00045324438124162
4,14,"GM",0.000935084270510798
4,14,"NW",0.00115926011848664
4,14,"LL",0.000466825123936364
5,7,"GM",0.00975838967426164
5,7,"NW",0.0100481496893106
5,7,"LL",0.00325780429903907
5,10,"GM",0.108701290655421
5,10,"NW",0.00909210753332208
5,10,"LL",0.0157948914360804
5,14,"GM",0.00425395871560561
5,14,"NW",0.00408410766419841
5,14,"LL",0.00474603328398242
6,7,"GM",0.00961882812174604
6,7,"NW",0.0090556230981715
6,7,"LL",0.00329683164155741
6,10,"GM",0.00667412652420759
6,10,"NW",0.00636670964138621
6,10,"LL",0.0022722368776249
6,14,"GM",0.00819587497558959
6,14,"NW",0.00687866847875286
6,14,"LL",0.00378876070502416
1,7,"GM",0.00114654578202425
1,7,"NW",0.00112187828071766
1,7,"LL",0.000948079150387248
1,10,"GM",0.00110052678973667
1,10,"NW",0.00100363839529609
1,10,"LL",0.000475823898648114
1,14,"GM",0.0025749988030049
1,14,"NW",0.00231429328236864
1,14,"LL",0.00295984811685213
2,7,"GM",0.0065010492005002
2,7,"NW",0.0075905743951404
2,7,"LL",0.00693681254619228
2,10,"GM",0.00348162295287095
2,10,"NW",0.00295275647419487
2,10,"LL",0.00288737987542353
2,14,"GM",0.00858091887042559
2,14,"NW",0.00474713504823673
2,14,"LL",0.00536952735117397
3,7,"GM",0.00393345391445736
3,7,"NW",0.00411257958770958
3,7,"LL",0.00424659660453468
3,10,"GM",0.00554941270709414
3,10,"NW",0.00546204521132241
3,10,"LL",0.00268699541897026
3,14,"GM",0.00192755752209862
3,14,"NW",0.00204269215020796
3,14,"LL",0.00130716105725459
4,7,"GM",0.004309646659891
4,7,"NW",0.00379857560171116
4,7,"LL",0.000742839862162071
4,10,"GM",0.00376890945099538
4,10,"NW",0.00716400803340604
4,10,"LL",0.00964762671652587
4,14,"GM",0.00174493380566606
4,14,"NW",0.0016139074202942
4,14,"LL",0.00109237596415811
5,7,"GM",0.0105946345664737
5,7,"NW",0.0130696300511072
5,7,"LL",0.0168381383271582
5,10,"GM",0.00737599303171391
5,10,"NW",0.00782111933076092
5,10,"LL",0.00611226134510056
5,14,"GM",0.0127086917643787
5,14,"NW",0.0081165640166871
5,14,"LL",0.00574565962740662
6,7,"GM",0.00233666282175601
6,7,"NW",0.00253698181555996
6,7,"LL",0.00591074075698576
6,10,"GM",0.00450044949173256
6,10,"NW",0.00496873368965355
6,10,"LL",0.00293861664198662
6,14,"GM",0.00562876015288423
6,14,"NW",0.0112943809737403
6,14,"LL",0.00748584721006432
1,7,"GM",0.00327962989955929
1,7,"NW",0.00336557376805283
1,7,"LL",0.00156009872294238
1,10,"GM",0.00216009168848117
1,10,"NW",0.00226157220772806
1,10,"LL",0.0021350570905643
1,14,"GM",0.00220580003593762
1,14,"NW",0.00224311982462647
1,14,"LL",0.00159126887044529
2,7,"GM",0.007450022113581
2,7,"NW",0.00555946339648696
2,7,"LL",0.00327125461689501
2,10,"GM",0.00438279921016327
2,10,"NW",0.00374595543668816
2,10,"LL",0.00198889539640916
2,14,"GM",0.00330648396150785
2,14,"NW",0.00313903228450005
2,14,"LL",0.00160932747010754
3,7,"GM",0.00530236151814567
3,7,"NW",0.00520284488540762
3,7,"LL",0.00351108044340942
3,10,"GM",0.00419602413380978
3,10,"NW",0.0037203246252233
3,10,"LL",0.00141935039758568
3,14,"GM",0.00276150928258203
3,14,"NW",0.00660325153122446
3,14,"LL",0.00782036855938163
4,7,"GM",0.0020346813879237
4,7,"NW",0.00194671397310282
4,7,"LL",0.00151668421009447
4,10,"GM",0.00554587514734941
4,10,"NW",0.00483877712554715
4,10,"LL",0.00152132607580863
4,14,"GM",0.00348902204531275
4,14,"NW",0.00357117563769421
4,14,"LL",0.00179645452313493
